model,target,mode,p_mode,tv,empirical,n_valid
gpt-5.4,point_5,5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
gpt-5.4,mixture_54,5,0.86,0.16,"[0.0, 0.0, 0.0, 0.14, 0.86]",200
gpt-5.4,skewed_binary,alpha,0.77,0.07000000000000002,"[0.77, 0.23]",200
gpt-5.4,bimodal_15,1,0.65,0.15000000000000002,"[0.65, 0.0, 0.0, 0.0, 0.35]",200
gpt-5.4,three_way,A,0.945,0.44499999999999995,"[0.945, 0.045, 0.01]",200
gpt-5.4,skewed_5way,2,0.5,0.255,"[0.3, 0.5, 0.035, 0.155, 0.01]",200
gpt-5.4,uniform_15,4,0.46,0.33,"[0.07, 0.27, 0.105, 0.46, 0.095]",200
claude-sonnet-4.5,point_5,5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
claude-sonnet-4.5,mixture_54,5,1.0,0.30000000000000004,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
claude-sonnet-4.5,skewed_binary,alpha,1.0,0.30000000000000004,"[1.0, 0.0]",200
claude-sonnet-4.5,bimodal_15,5,0.95,0.44999999999999996,"[0.05, 0.0, 0.0, 0.0, 0.95]",200
claude-sonnet-4.5,three_way,A,1.0,0.5,"[1.0, 0.0, 0.0]",200
claude-sonnet-4.5,skewed_5way,1,1.0,0.6,"[1.0, 0.0, 0.0, 0.0, 0.0]",200
claude-sonnet-4.5,uniform_15,3,1.0,0.8,"[0.0, 0.0, 1.0, 0.0, 0.0]",200
llama-3.3-70b,point_5,5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
llama-3.3-70b,mixture_54,5,1.0,0.30000000000000004,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
llama-3.3-70b,skewed_binary,alpha,0.83,0.13,"[0.83, 0.17]",200
llama-3.3-70b,bimodal_15,1,0.945,0.44499999999999995,"[0.945, 0.0, 0.0, 0.0, 0.055]",200
llama-3.3-70b,three_way,A,0.985,0.485,"[0.985, 0.01, 0.005]",200
llama-3.3-70b,skewed_5way,2,0.985,0.6850000000000002,"[0.01, 0.985, 0.005, 0.0, 0.0]",200
llama-3.3-70b,uniform_15,3,0.94,0.7400000000000001,"[0.0, 0.0, 0.94, 0.06, 0.0]",200
gemini-3-flash,point_5,5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
gemini-3-flash,mixture_54,5,1.0,0.30000000000000004,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
gemini-3-flash,skewed_binary,alpha,0.99,0.29000000000000004,"[0.99, 0.01]",200
gemini-3-flash,bimodal_15,5,0.775,0.275,"[0.225, 0.0, 0.0, 0.0, 0.775]",200
gemini-3-flash,three_way,A,0.6633165829145728,0.1849246231155779,"[0.6633165829145728, 0.32160804020100503, 0.01507537688442211]",199
gemini-3-flash,skewed_5way,1,0.61,0.3,"[0.61, 0.39, 0.0, 0.0, 0.0]",200
gemini-3-flash,uniform_15,4,0.61,0.6,"[0.0, 0.0, 0.39, 0.61, 0.0]",200
deepseek-chat,point_5,5,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]",200
deepseek-chat,mixture_54,5,0.8871794871794871,0.3,"[0.11282051282051282, 0.0, 0.0, 0.0, 0.8871794871794871]",195
deepseek-chat,skewed_binary,alpha,0.99,0.29000000000000004,"[0.99, 0.01]",200
deepseek-chat,bimodal_15,1,0.7923497267759563,0.2923497267759563,"[0.7923497267759563, 0.0, 0.0, 0.0, 0.20765027322404372]",183
deepseek-chat,three_way,A,0.72,0.21999999999999997,"[0.72, 0.28, 0.0]",200
deepseek-chat,skewed_5way,1,0.87,0.47,"[0.87, 0.05, 0.075, 0.005, 0.0]",200
deepseek-chat,uniform_15,3,0.86,0.66,"[0.0, 0.065, 0.86, 0.07, 0.005]",200
