model,task,variant,tv,p_mode,mode,n_valid,empirical
gpt-5.4,uniform_digit,V0,0.295,0.435,4,200,"[0.075, 0.26, 0.165, 0.435, 0.065]"
gpt-5.4,uniform_digit,V7,0.7999999999999999,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
gpt-5.4,uniform_digit,V8,0.0,0.2,1,200,"[0.2, 0.2, 0.2, 0.2, 0.2]"
gpt-5.4,uniform_digit,V9,0.045,0.22,3,200,"[0.215, 0.18, 0.22, 0.21, 0.175]"
gpt-5.4,fair_coin,V0,0.19499999999999998,0.695,T,200,"[0.305, 0.695]"
gpt-5.4,fair_coin,V7,0.5,,,0,"[0.0, 0.0]"
gpt-5.4,fair_coin,V8,0.0,0.5,H,200,"[0.5, 0.5]"
gpt-5.4,fair_coin,V9,0.020000000000000018,0.52,H,200,"[0.52, 0.48]"
gpt-5.4,skewed_binary,V0,0.13,0.83,alpha,200,"[0.83, 0.17]"
gpt-5.4,skewed_binary,V7,0.09500000000000004,0.795,alpha,200,"[0.795, 0.205]"
gpt-5.4,skewed_binary,V8,0.0,0.7,alpha,200,"[0.7, 0.3]"
gpt-5.4,skewed_binary,V9,0.010000000000000009,0.71,alpha,200,"[0.71, 0.29]"
gpt-5.4,bimodal_5way,V0,0.5,0.9,5,200,"[0.1, 0.0, 0.0, 0.0, 0.9]"
gpt-5.4,bimodal_5way,V7,0.5599999999999999,0.96,1,200,"[0.96, 0.0, 0.0, 0.0, 0.04]"
gpt-5.4,bimodal_5way,V8,0.0,0.4,1,200,"[0.4, 0.1, 0.0, 0.1, 0.4]"
gpt-5.4,bimodal_5way,V9,0.02500000000000001,0.395,1,200,"[0.395, 0.125, 0.0, 0.095, 0.385]"
gpt-5.4,skewed_5way,V0,0.3499999999999999,0.85,1,200,"[0.85, 0.085, 0.02, 0.025, 0.02]"
gpt-5.4,skewed_5way,V7,0.405,0.905,1,200,"[0.905, 0.025, 0.05, 0.02, 0.0]"
gpt-5.4,skewed_5way,V8,0.0,0.5,1,200,"[0.5, 0.2, 0.1, 0.1, 0.1]"
gpt-5.4,skewed_5way,V9,0.03500000000000002,0.52,1,200,"[0.52, 0.19, 0.115, 0.095, 0.08]"
claude-sonnet-4.5,uniform_digit,V0,0.8,1.0,3,200,"[0.0, 0.0, 1.0, 0.0, 0.0]"
claude-sonnet-4.5,uniform_digit,V7,0.7999999999999999,1.0,1,200,"[1.0, 0.0, 0.0, 0.0, 0.0]"
claude-sonnet-4.5,uniform_digit,V8,0.0,0.2,1,200,"[0.2, 0.2, 0.2, 0.2, 0.2]"
claude-sonnet-4.5,uniform_digit,V9,0.045,0.22,3,200,"[0.215, 0.18, 0.22, 0.21, 0.175]"
claude-sonnet-4.5,fair_coin,V0,0.5,1.0,T,200,"[0.0, 1.0]"
claude-sonnet-4.5,fair_coin,V7,0.5,1.0,H,1,"[1.0, 0.0]"
claude-sonnet-4.5,fair_coin,V8,0.05000000000000002,0.55,T,200,"[0.45, 0.55]"
claude-sonnet-4.5,fair_coin,V9,0.020000000000000018,0.52,H,200,"[0.52, 0.48]"
claude-sonnet-4.5,skewed_binary,V0,0.30000000000000004,1.0,alpha,200,"[1.0, 0.0]"
claude-sonnet-4.5,skewed_binary,V7,0.30000000000000004,1.0,alpha,200,"[1.0, 0.0]"
claude-sonnet-4.5,skewed_binary,V8,0.0,0.7,alpha,200,"[0.7, 0.3]"
